case_id,ocd_id,surface_formula,adsorbate,backend_key,backend,llm_model,llm_route,force_field,calculator_backend,force_field_model,force_field_size,variant,best_energy_eV,success,run_path,iterations,wasted_iterations,waste_ratio,slip_count,dissociation_count,tokens_used
011,105,Se48Sn48,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-4.418554306030273,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/011,5,0,0.0,3,1,25171
011,105,Se48Sn48,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-4.418554306030273,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/011,1,0,0.0,0,0,4704
012,108,Ru60Ta20,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-14.549540519714355,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/012,5,0,0.0,5,0,31375
012,108,Ru60Ta20,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-14.549540519714355,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/012,4,0,0.0,4,0,26839
012,108,Ru60Ta20,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-14.549540519714355,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/012,5,0,0.0,5,0,29767
012,108,Ru60Ta20,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_termination,-14.549540519714355,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_termination/012,5,0,0.0,5,0,30305
012,108,Ru60Ta20,[NH],gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,one_shot,-14.256022453308104,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/one_shot/012,1,0,0.0,1,0,5212
013,114,Ag24In12Sc12,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,full,-2.768667221069336,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/full/013,5,0,0.0,3,1,28609
013,114,Ag24In12Sc12,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_slip,-2.693397521972656,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_slip/013,5,0,0.0,2,1,25385
013,114,Ag24In12Sc12,CO,gpt,openai_gpt54_mace_mp0_small,gpt-5.4-2026-03-05,OpenAI official endpoint,MACE-MP-0 small,mace,mace_mp0,small,no_forbid,-2.746053695678711,TRUE,research/results/basic_experiments/ocd62/openai_gpt54_mace_mp0_small/no_forbid/013,5,0,0.0,4,1,26881
