dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD-GMAE rep50,027,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-7.707094192504883,-7.707094192504883,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,028,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-7.811891555786133,-7.790712356567383,0.021179199,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,029,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.722797393798828,-2.717609405517578,0.005187988,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,030,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-4.292024612426758,-4.578388214111328,-0.286363602,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,031,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-7.338869094848633,-7.339601516723633,-0.000732422,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,032,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-1.094757080078125,-1.094757080078125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,033,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.01446533203125,-2.73760986328125,0.276855469,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,034,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.4393653869628906,-3.4162750244140625,0.023090363,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,035,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-4.418584823608398,-4.367143630981445,0.051441193,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,037,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-10.361473083496094,-9.077598571777344,1.283874512,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,039,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-7.450052261352539,-7.24180793762207,0.208244324,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,040,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-5.74797248840332,-5.74797248840332,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,042,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.2128028869628906,-1.85589599609375,0.356906891,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,044,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-5.087837219238281,-4.688911437988281,0.398925781,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,045,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.8482284545898438,-2.8482284545898438,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,046,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-8.322032928466797,-7.671304702758789,0.650728226,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,047,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-10.486995697021484,-10.415063858032227,0.071931839,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,048,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-2.903726577758789,-2.9037342071533203,-0.000007629,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,049,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-8.628105163574219,-7.621452331542969,1.006652832,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,050,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-11.695304870605469,-11.582328796386719,0.112976074,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,001,gpt,GPT-5.4,single_shot,1-Shot,-4.743168592453003,-4.743199110031128,-0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,002,gpt,GPT-5.4,single_shot,1-Shot,-3.5041396617889404,-3.5041396617889404,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,003,gpt,GPT-5.4,single_shot,1-Shot,-3.134526014328003,-3.134526014328003,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,005,gpt,GPT-5.4,single_shot,1-Shot,-6.176261901855469,-6.176261901855469,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,006,gpt,GPT-5.4,single_shot,1-Shot,-5.4748687744140625,-3.94049072265625,1.534378052,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,007,gpt,GPT-5.4,single_shot,1-Shot,-11.658075332641602,-11.659784317016602,-0.001708984,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,008,gpt,GPT-5.4,single_shot,1-Shot,-4.546131134033203,-4.444726943969727,0.101404190,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,009,gpt,GPT-5.4,single_shot,1-Shot,-4.700778961181641,-3.9963321685791016,0.704446793,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,010,gpt,GPT-5.4,single_shot,1-Shot,-10.075138092041016,-9.262384414672852,0.812753677,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,011,gpt,GPT-5.4,single_shot,1-Shot,-3.283937454223633,-3.282930374145508,0.001007080,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,012,gpt,GPT-5.4,single_shot,1-Shot,-9.668575286865234,-9.35494613647461,0.313629150,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,013,gpt,GPT-5.4,single_shot,1-Shot,-3.3845252990722656,-3.345600128173828,0.038925171,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,015,gpt,GPT-5.4,single_shot,1-Shot,-10.643351554870605,-9.681571960449219,0.961779594,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,016,gpt,GPT-5.4,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.293518066,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,017,gpt,GPT-5.4,single_shot,1-Shot,-7.4804487228393555,-8.466667175292969,-0.986218452,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
OCD-GMAE rep50,018,gpt,GPT-5.4,single_shot,1-Shot,-2.113170623779297,-2.113170623779297,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
