dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
CMU20,01,gemini,Gemini 2.5 Pro,single_shot,1-Shot,-3.6317179203033447,-3.6311686038970947,0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,gpt,GPT-5.4,single_shot,1-Shot,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,gpt,GPT-5.4,single_shot,1-Shot,-2.2549095153808594,-2.2427330017089844,0.012176514,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,gpt,GPT-5.4,single_shot,1-Shot,-2.961643934249878,-2.8426101207733154,0.119033813,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,gpt,GPT-5.4,single_shot,1-Shot,-7.030705213546753,-6.511173963546753,0.519531250,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,gpt,GPT-5.4,single_shot,1-Shot,-1.9912567138671875,-1.9912567138671875,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,gpt,GPT-5.4,single_shot,1-Shot,-2.7095260620117188,-2.7176666259765625,-0.008140564,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,gpt,GPT-5.4,single_shot,1-Shot,-2.3813095092773438,-2.4184722900390625,-0.037162781,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,gpt,GPT-5.4,single_shot,1-Shot,-2.0813217163085938,-2.0813217163085938,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,gpt,GPT-5.4,single_shot,1-Shot,-2.8251419067382812,-2.8078689575195312,0.017272949,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,gpt,GPT-5.4,single_shot,1-Shot,-3.5911407470703125,-3.4312286376953125,0.159912109,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,gpt,GPT-5.4,single_shot,1-Shot,-3.257709503173828,-2.9636917114257812,0.294017792,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,gpt,GPT-5.4,single_shot,1-Shot,-4.272052764892578,-4.662910461425781,-0.390857697,variant_higher_less_stable_than_full,False,False,False,True,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,gpt,GPT-5.4,single_shot,1-Shot,-3.241016387939453,-2.692474365234375,0.548542023,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,gpt,GPT-5.4,single_shot,1-Shot,-2.7240142822265625,-2.5189666748046875,0.205047607,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,gpt,GPT-5.4,single_shot,1-Shot,-4.0125274658203125,-4.0125274658203125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,gpt,GPT-5.4,single_shot,1-Shot,-11.652278900146484,-11.652278900146484,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.630131483078003,-3.557255506515503,0.072875977,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.769039154052734,-4.342861175537109,0.426177979,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.351963758468628,-3.351963758468628,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,04,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.2848472595214844,-1.8452110290527344,0.439636230,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,05,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.961643934249878,-2.961643934249878,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,07,claude,Claude Sonnet 4.6,single_shot,1-Shot,-7.051090955734253,-6.883122205734253,0.167968750,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,09,claude,Claude Sonnet 4.6,single_shot,1-Shot,-1.9912567138671875,-1.8037338256835938,0.187522888,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,10,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.7176666259765625,-2.7095260620117188,0.008140564,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,11,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.4184722900390625,-2.4184722900390625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,12,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.3513641357421875,-2.0813217163085938,0.270042419,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,13,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.8251419067382812,-2.8251419067382812,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,14,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.5796432495117188,-3.4533309936523438,0.126312256,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,15,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.257678985595703,-2.767475128173828,0.490203857,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,16,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.662910461425781,-4.662910461425781,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,17,claude,Claude Sonnet 4.6,single_shot,1-Shot,-3.240985870361328,-2.692474365234375,0.548511505,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,18,claude,Claude Sonnet 4.6,single_shot,1-Shot,-2.7240142822265625,-2.5189666748046875,0.205047607,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,19,claude,Claude Sonnet 4.6,single_shot,1-Shot,-4.0125274658203125,-4.0125274658203125,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,20,claude,Claude Sonnet 4.6,single_shot,1-Shot,-11.652706146240234,-11.652278900146484,0.000427246,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,01,grok,Grok-4,single_shot,1-Shot,-3.6317179203033447,-3.6311686038970947,0.000549316,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,02,grok,Grok-4,single_shot,1-Shot,-4.765958786010742,-4.150495529174805,0.615463257,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
CMU20,03,grok,Grok-4,single_shot,1-Shot,-3.351963758468628,-3.320255994796753,0.031707764,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
