dataset,case_id,backend,backend_label,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,delta_positive_means,within_0p01_eV,within_0p05_eV,full_better_gt_0p05_eV,variant_better_gt_0p05_eV,plot_note
OCD24,014,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-5.207887649536133,-5.207887649536133,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,014,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-5.222894668579102,-5.20787239074707,0.015022278,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,014,GPT-5.4,GPT-5.4,single_shot,1-Shot,-5.222879409790039,-5.207887649536133,0.014991760,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,014,Grok-4,Grok-4,single_shot,1-Shot,-5.222879409790039,-5.20787239074707,0.015007019,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,015,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-1.351470947265625,-1.351470947265625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,015,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-1.4145851135253906,-1.351470947265625,0.063114166,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,015,GPT-5.4,GPT-5.4,single_shot,1-Shot,-1.5510482788085938,-1.5704212188720703,-0.019372940,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,015,Grok-4,Grok-4,single_shot,1-Shot,-1.351470947265625,-1.351470947265625,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,016,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-12.998695373535156,-12.913764953613281,0.084930420,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,016,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-12.998695373535156,-12.920936584472656,0.077758789,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,016,GPT-5.4,GPT-5.4,single_shot,1-Shot,-12.998725891113281,-12.920936584472656,0.077789307,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,016,Grok-4,Grok-4,single_shot,1-Shot,-12.998695373535156,-12.998695373535156,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,017,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-5.363338470458984,-5.362604141235352,0.000734329,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,017,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-5.363460540771484,-5.362634658813477,0.000825882,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,017,Grok-4,Grok-4,single_shot,1-Shot,-5.362634658813477,-5.362604141235352,0.000030518,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,018,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,018,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,018,GPT-5.4,GPT-5.4,single_shot,1-Shot,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,018,Grok-4,Grok-4,single_shot,1-Shot,-6.991722106933594,-6.991722106933594,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,019,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-3.5041396617889404,-3.2566726207733154,0.247467041,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,019,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-3.5041396617889404,-3.3022658824920654,0.201873779,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,019,GPT-5.4,GPT-5.4,single_shot,1-Shot,-3.5041396617889404,-3.5041396617889404,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,019,Grok-4,Grok-4,single_shot,1-Shot,-3.3380630016326904,-3.3380630016326904,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,020,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-6.2419586181640625,-6.1058197021484375,0.136138916,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,020,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-6.176261901855469,-6.176261901855469,0.000000000,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,020,GPT-5.4,GPT-5.4,single_shot,1-Shot,-6.2419586181640625,-6.176261901855469,0.065696716,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,020,Grok-4,Grok-4,single_shot,1-Shot,-6.2334442138671875,-6.2419586181640625,-0.008514404,variant_higher_less_stable_than_full,True,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,021,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-3.6018409729003906,-3.3670387268066406,0.234802246,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,021,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-3.6048831939697266,-3.4414615631103516,0.163421631,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,021,GPT-5.4,GPT-5.4,single_shot,1-Shot,-3.6048831939697266,-3.4414615631103516,0.163421631,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,021,Grok-4,Grok-4,single_shot,1-Shot,-3.6088905334472656,-3.4414615631103516,0.167428970,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,022,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-3.3845176696777344,-2.735790252685547,0.648727417,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,023,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.293518066,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,023,Gemini 2.5 Pro,Gemini 2.5 Pro,single_shot,1-Shot,-14.549540519714355,-13.564433097839355,0.985107422,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,023,GPT-5.4,GPT-5.4,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.293518066,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,023,Grok-4,Grok-4,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.293518066,variant_higher_less_stable_than_full,False,False,True,False,success_only_delta; natural_failures_are_in_failure_audit
OCD24,024,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,-3.417623519897461,-3.376506805419922,0.041116714,variant_higher_less_stable_than_full,False,True,False,False,success_only_delta; natural_failures_are_in_failure_audit
