dataset,backend,backend_label,case_id,variant,variant_label,E_full_eV,E_variant_eV,delta_E_variant_minus_full_eV,outcome_0p01eV,full_advantage_gt_0p05eV
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,015,single_shot,1-Shot,-10.606913566589355,-9.957316398620605,0.64959716796875,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,016,single_shot,1-Shot,-14.549540519714355,-14.256022453308105,0.29351806640625,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,017,single_shot,1-Shot,-8.466377258300781,-7.173670768737793,1.2927064895629883,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,018,single_shot,1-Shot,-2.113170623779297,-2.125509262084961,-0.012338638305664062,variant_lower_more_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,019,single_shot,1-Shot,-3.493175506591797,-3.479421615600586,0.013753890991210938,variant_higher_less_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,020,single_shot,1-Shot,-2.7165756225585938,-2.7164840698242188,9.1552734375e-05,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,021,single_shot,1-Shot,-4.241493225097656,-3.8590927124023438,0.3824005126953125,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,022,single_shot,1-Shot,-7.176612854003906,-6.136024475097656,1.04058837890625,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,023,single_shot,1-Shot,-4.346961975097656,-4.346961975097656,0.0,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,024,single_shot,1-Shot,-3.288808822631836,-3.1459884643554688,0.1428203582763672,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,026,single_shot,1-Shot,-19.789199829101562,-19.717330932617188,0.071868896484375,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,027,single_shot,1-Shot,-7.707094192504883,-7.707094192504883,0.0,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,028,single_shot,1-Shot,-7.811891555786133,-7.790712356567383,0.02117919921875,variant_higher_less_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,029,single_shot,1-Shot,-2.722797393798828,-2.717609405517578,0.00518798828125,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,030,single_shot,1-Shot,-4.292024612426758,-4.578388214111328,-0.2863636016845703,variant_lower_more_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,031,single_shot,1-Shot,-7.338869094848633,-7.339601516723633,-0.000732421875,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,032,single_shot,1-Shot,-1.094757080078125,-1.094757080078125,0.0,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,033,single_shot,1-Shot,-3.01446533203125,-2.73760986328125,0.27685546875,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,034,single_shot,1-Shot,-3.4393653869628906,-3.4162750244140625,0.023090362548828125,variant_higher_less_stable,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,035,single_shot,1-Shot,-4.418584823608398,-4.367143630981445,0.051441192626953125,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,037,single_shot,1-Shot,-10.361473083496094,-9.077598571777344,1.28387451171875,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,039,single_shot,1-Shot,-7.450052261352539,-7.24180793762207,0.20824432373046875,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,040,single_shot,1-Shot,-5.74797248840332,-5.74797248840332,0.0,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,042,single_shot,1-Shot,-2.2128028869628906,-1.85589599609375,0.3569068908691406,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,044,single_shot,1-Shot,-5.087837219238281,-4.688911437988281,0.39892578125,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,045,single_shot,1-Shot,-2.8482284545898438,-2.8482284545898438,0.0,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,046,single_shot,1-Shot,-8.322032928466797,-7.671304702758789,0.6507282257080078,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,047,single_shot,1-Shot,-10.486995697021484,-10.415063858032227,0.07193183898925781,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,048,single_shot,1-Shot,-2.903726577758789,-2.9037342071533203,-7.62939453125e-06,tie_with_full,False
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,049,single_shot,1-Shot,-8.628105163574219,-7.621452331542969,1.00665283203125,variant_higher_less_stable,True
OCD-GMAE rep50,gemini,Gemini 2.5 Pro,050,single_shot,1-Shot,-11.695304870605469,-11.582328796386719,0.11297607421875,variant_higher_less_stable,True
OCD-GMAE rep50,gpt,GPT-5.4,001,single_shot,1-Shot,-4.743168592453003,-4.743199110031128,-3.0517578125e-05,tie_with_full,False
