case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used,source,backend
015,no_termination,-1.5527877807617188,-0.20131683349609375,4,1,0.25,True,2,1,41037,locked10,claude
015,single_shot,-1.351470947265625,0.0,1,0,0.0,True,1,0,6965,locked10,claude
016,full,-12.998695373535156,0.0,5,0,0.0,True,3,0,35682,locked10,claude
016,no_slip,-12.998695373535156,0.0,5,0,0.0,True,3,0,33206,locked10,claude
016,no_forbid,-12.998695373535156,0.0,5,0,0.0,True,3,0,34987,locked10,claude
016,no_termination,-12.998695373535156,0.0,4,0,0.0,True,2,0,30592,locked10,claude
016,single_shot,-12.913764953613281,0.084930419921875,1,0,0.0,True,0,0,6426,locked10,claude
017,full,-5.363338470458984,0.0,5,0,0.0,True,4,1,41535,extra14,claude
017,no_slip,-5.363460540771484,-0.0001220703125,5,0,0.0,True,3,1,37088,extra14,claude
017,no_forbid,-5.363430023193359,-9.1552734375e-05,5,0,0.0,True,4,1,39535,extra14,claude
017,no_termination,-5.363246917724609,9.1552734375e-05,5,0,0.0,True,3,1,40249,extra14,claude
017,single_shot,-5.362604141235352,0.0007343292236328125,1,0,0.0,True,1,0,5798,extra14,claude
018,full,-6.991722106933594,0.0,5,0,0.0,True,3,3,41468,extra14,claude
018,no_slip,-6.991722106933594,0.0,5,0,0.0,True,4,4,36090,extra14,claude
018,no_forbid,-6.991722106933594,0.0,5,0,0.0,True,4,2,38622,extra14,claude
018,no_termination,-6.991722106933594,0.0,5,0,0.0,True,4,2,38082,extra14,claude
018,single_shot,-6.991722106933594,0.0,1,0,0.0,True,1,0,5761,extra14,claude
019,full,-3.5041396617889404,0.0,5,0,0.0,True,4,0,38463,locked10,claude
019,no_slip,-3.3380630016326904,0.16607666015625,3,0,0.0,True,3,0,28115,locked10,claude
019,no_forbid,-3.5041396617889404,0.0,5,0,0.0,True,4,0,36324,locked10,claude
019,no_termination,-3.5041396617889404,0.0,5,0,0.0,True,4,0,36518,locked10,claude
