case_id,backend,surface_family,success,best_energy,delta_vs_full,iterations,slip_count,dissociation_count,failure_class,error
033,gemini,intermetallic,True,-3.01446533203125,0.0,5,3,2,,
034,gemini,intermetallic,True,-3.4393653869628906,0.0,5,2,2,,
035,gemini,compound,True,-4.418584823608398,0.0,5,0,0,,
036,gemini,intermetallic,True,-0.16718101501464844,0.0,5,0,1,,
037,gemini,intermetallic,True,-10.361473083496094,0.0,5,2,1,,
038,gemini,intermetallic,True,-3.3852310180664062,0.0,5,4,1,,
039,gemini,compound,True,-7.450052261352539,0.0,4,3,0,,
040,gemini,compound,True,-5.74797248840332,0.0,5,4,0,,
041,gemini,intermetallic,True,-3.95587158203125,0.0,5,4,2,,
042,gemini,intermetallic,True,-2.2128028869628906,0.0,4,3,0,,
043,gemini,monometallic,False,,,1,1,1,natural_dissociation_or_reaction,
044,gemini,intermetallic,True,-5.087837219238281,0.0,5,3,0,,
045,gemini,intermetallic,True,-2.8482284545898438,0.0,5,3,0,,
046,gemini,compound,True,-8.322032928466797,0.0,5,3,0,,
047,gemini,compound,True,-10.486995697021484,0.0,5,4,1,,
048,gemini,intermetallic,True,-2.903726577758789,0.0,2,2,0,,
049,gemini,compound,True,-8.628105163574219,0.0,5,5,0,,
050,gemini,compound,True,-11.695304870605469,0.0,5,3,0,,
