case_id,variant,available_backend_count,success_backend_count,failed_backend_count,best_energy,mean_energy,range_energy,success_backends,failed_backends,delta_vs_full_best
015,single_shot,3,3,0,-1.5704212188720703,-1.4244543711344402,0.2189502716064453,"gpt54,claude,gemini",,-0.019372940063476562
016,full,3,3,0,-12.998725891113281,-12.998705546061197,3.0517578125e-05,"gpt54,claude,gemini",,0.0
016,no_slip,3,3,0,-12.998695373535156,-12.998695373535156,0.0,"gpt54,claude,gemini",,3.0517578125e-05
016,no_forbid,3,3,0,-12.998725891113281,-12.998705546061197,3.0517578125e-05,"gpt54,claude,gemini",,0.0
016,no_termination,3,3,0,-12.998695373535156,-12.998695373535156,0.0,"gpt54,claude,gemini",,3.0517578125e-05
016,single_shot,3,3,0,-12.920936584472656,-12.918546040852865,0.007171630859375,"gpt54,claude,gemini",,0.077789306640625
017,full,3,3,0,-5.363460540771484,-5.363134384155273,0.0008563995361328125,"gpt54,claude,gemini",,0.0
017,no_slip,3,3,0,-5.363460540771484,-5.363460540771484,0.0,"gpt54,claude,gemini",,0.0
017,no_forbid,3,3,0,-5.363460540771484,-5.363450368245442,3.0517578125e-05,"gpt54,claude,gemini",,0.0
017,no_termination,3,3,0,-5.363246917724609,-5.3628184000651045,0.0006427764892578125,"gpt54,claude,gemini",,0.000213623046875
017,single_shot,2,2,1,-5.362634658813477,-5.362619400024414,3.0517578125e-05,"claude,gemini",gpt54,0.0008258819580078125
018,full,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
018,no_slip,3,3,0,-7.120536804199219,-7.034660339355469,0.128814697265625,"gpt54,claude,gemini",,-0.128814697265625
018,no_forbid,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
018,no_termination,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
018,single_shot,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
019,full,3,3,0,-3.5041396617889404,-3.5041396617889404,0.0,"gpt54,claude,gemini",,0.0
019,no_slip,3,3,0,-3.5041396617889404,-3.3934218883514404,0.16607666015625,"gpt54,claude,gemini",,0.0
019,no_forbid,3,3,0,-3.5041396617889404,-3.4487807750701904,0.16607666015625,"gpt54,claude,gemini",,0.0
019,no_termination,3,3,0,-3.5041396617889404,-3.4487807750701904,0.16607666015625,"gpt54,claude,gemini",,0.0
019,single_shot,3,3,0,-3.5041396617889404,-3.3543593883514404,0.247467041015625,"gpt54,claude,gemini",,0.0
020,full,3,3,0,-6.2419586181640625,-6.220059712727864,0.06569671630859375,"gpt54,claude,gemini",,0.0
020,no_slip,3,3,0,-6.2419586181640625,-6.2347564697265625,0.0108642578125,"gpt54,claude,gemini",,0.0
020,no_forbid,3,3,0,-6.2400054931640625,-6.197509765625,0.06374359130859375,"gpt54,claude,gemini",,0.001953125
020,no_termination,3,3,0,-6.2419586181640625,-6.2165171305338545,0.065460205078125,"gpt54,claude,gemini",,0.0
020,single_shot,3,3,0,-6.176261901855469,-6.152781168619792,0.07044219970703125,"gpt54,claude,gemini",,0.06569671630859375
021,full,3,3,0,-3.6048831939697266,-3.6038691202799478,0.0030422210693359375,"gpt54,claude,gemini",,0.0
021,no_slip,3,3,0,-3.6048831939697266,-3.5723883310953775,0.09444236755371094,"gpt54,claude,gemini",,0.0
021,no_forbid,3,3,0,-3.6018409729003906,-3.540917714436849,0.091400146484375,"gpt54,claude,gemini",,0.0030422210693359375
021,no_termination,3,3,0,-3.6048831939697266,-3.6028550465901694,0.0030422210693359375,"gpt54,claude,gemini",,0.0
021,single_shot,3,3,0,-3.4414615631103516,-3.4166539510091147,0.07442283630371094,"gpt54,claude,gemini",,0.163421630859375
022,full,3,3,0,-3.3845252990722656,-3.3715502421061196,0.03891754150390625,"gpt54,claude,gemini",,0.0
022,no_slip,3,3,0,-3.3845176696777344,-3.3845176696777344,0.0,"gpt54,claude,gemini",,7.62939453125e-06
022,no_forbid,3,3,0,-3.3845176696777344,-3.3585726420084634,0.03891754150390625,"gpt54,claude,gemini",,7.62939453125e-06
022,no_termination,3,3,0,-3.3845176696777344,-3.3585802714029946,0.038909912109375,"gpt54,claude,gemini",,7.62939453125e-06
022,single_shot,1,1,2,-2.735790252685547,-2.735790252685547,,claude,"gpt54,gemini",0.6487350463867188
023,full,3,3,0,-14.549540519714355,-14.549540519714355,0.0,"gpt54,claude,gemini",,0.0
023,no_slip,3,3,0,-14.549540519714355,-14.451701164245605,0.29351806640625,"gpt54,claude,gemini",,0.0
023,no_forbid,3,3,0,-14.549540519714355,-14.549540519714355,0.0,"gpt54,claude,gemini",,0.0
023,no_termination,3,3,0,-14.549540519714355,-14.549540519714355,0.0,"gpt54,claude,gemini",,0.0
023,single_shot,3,3,0,-14.256022453308105,-14.025492668151855,0.69158935546875,"gpt54,claude,gemini",,0.29351806640625
024,full,3,3,0,-3.715871810913086,-3.6164557139078775,0.298248291015625,"gpt54,claude,gemini",,0.0
024,no_slip,3,3,0,-3.715871810913086,-3.715871810913086,0.0,"gpt54,claude,gemini",,0.0
024,no_forbid,3,3,0,-3.715871810913086,-3.715871810913086,0.0,"gpt54,claude,gemini",,0.0
024,no_termination,3,3,0,-3.715871810913086,-3.715871810913086,0.0,"gpt54,claude,gemini",,0.0
024,single_shot,3,3,0,-3.376506805419922,-3.376506805419922,0.0,"gpt54,claude,gemini",,0.33936500549316406
