backend,case_id,variant,best_energy,success,failure_class,iterations,tokens_used,raw_status,error,full_energy,full_success,delta_vs_full_recomputed
GPT-5.4,044,no_termination,-5.087898254394531,True,success,5,27861,success,,-5.068367004394531,True,-0.01953125
GPT-5.4,045,no_termination,-2.8482284545898438,True,success,5,27818,success,,-2.848228454589844,True,4.440892098500626e-16
GPT-5.4,046,no_termination,-8.103862762451172,True,success,5,25663,success,,-8.329936981201172,True,0.22607421875
GPT-5.4,047,no_termination,-10.486995697021484,True,success,5,26007,success,,-10.486995697021484,True,0.0
GPT-5.4,048,no_termination,-2.9037342071533203,True,success,5,30666,success,,-2.903726577758789,True,-7.62939453125e-06
GPT-5.4,049,no_termination,-8.628105163574219,True,success,5,28356,success,,-8.249351501464844,True,-0.378753662109375
GPT-5.4,050,no_termination,-11.695304870605469,True,success,5,25764,success,,-11.695274353027344,True,-3.0517578125e-05
Claude Sonnet 4.6,001,no_slip,-4.743168592453003,True,success,3,24387,success,,-4.980229139328003,True,0.237060546875
Claude Sonnet 4.6,002,no_slip,-3.3380630016326904,True,success,4,29811,success,,-3.5041396617889404,True,0.16607666015625
Claude Sonnet 4.6,003,no_slip,-3.1345107555389404,True,success,5,34818,success,,-3.1345107555389404,True,0.0
Claude Sonnet 4.6,004,no_slip,-7.2280120849609375,True,success,5,33729,success,,-7.2280120849609375,True,0.0
Claude Sonnet 4.6,005,no_slip,-6.2332916259765625,True,success,5,36675,success,,-6.2375946044921875,True,0.004302978515625
Claude Sonnet 4.6,006,no_slip,-5.4748687744140625,True,success,5,34866,success,,-5.4569244384765625,True,-0.0179443359375
Claude Sonnet 4.6,007,no_slip,-6.983524322509766,True,success,2,12497,success,,-11.654596328735352,True,4.671072006225586
Claude Sonnet 4.6,008,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-4.546131134033203,True,
Claude Sonnet 4.6,009,no_slip,-4.700778961181641,True,success,1,6093,success,,-5.017307281494141,True,0.3165283203125
Claude Sonnet 4.6,010,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-10.075138092041016,True,
Claude Sonnet 4.6,011,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-3.2839298248291016,True,
Claude Sonnet 4.6,012,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-9.668636322021484,True,
Claude Sonnet 4.6,013,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-3.34561538696289,True,
Claude Sonnet 4.6,014,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-7.570980072021484,True,
Claude Sonnet 4.6,015,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-10.643351554870604,True,
Claude Sonnet 4.6,016,no_slip,-14.256022453308105,True,success,1,3092,success,,-14.549540519714355,True,0.29351806640625
Claude Sonnet 4.6,017,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-8.466651916503906,True,
Claude Sonnet 4.6,018,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-2.113170623779297,True,
Claude Sonnet 4.6,019,no_slip,-3.493175506591797,True,success,1,5828,success,,-3.493175506591797,True,0.0
Claude Sonnet 4.6,020,no_slip,-2.7164840698242188,True,success,1,3091,success,,-2.716468811035156,True,-1.525878906294409e-05
Claude Sonnet 4.6,021,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-4.241325378417969,True,
Claude Sonnet 4.6,022,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-7.159950256347656,True,
Claude Sonnet 4.6,023,no_slip,,False,external_failure,0,0,error,"Error code: 529 - {'error': {'code': 'overloaded_error', 'message': 'Overloaded', 'type': 'invalid_request_error', 'param': None}}",-4.346961975097656,True,
Claude Sonnet 4.6,024,no_slip,-3.4101905822753906,True,success,5,34753,success,,-3.288808822631836,True,-0.12138175964355469
Claude Sonnet 4.6,025,no_slip,-8.408592224121094,True,success,5,36689,success,,-7.8810882568359375,True,-0.5275039672851562
Claude Sonnet 4.6,026,no_slip,-19.925071716308594,True,success,5,31852,success,,-19.925071716308594,True,0.0
