case_id,variant,full_best,variant_best,delta_variant_best_minus_full_best,variant_success_backends,variant_external_failures,full_success_backends
014,no_termination,-7.854701995849609,-7.854701995849609,0.0,2,1,3
015,no_forbid,-10.643351554870604,-10.643351554870605,-1.7763568394002505e-15,3,0,3
015,no_slip,-10.643351554870604,-10.643351554870605,-1.7763568394002505e-15,2,1,3
015,no_termination,-10.643351554870604,-10.643351554870605,-1.7763568394002505e-15,2,1,3
016,no_forbid,-14.549540519714355,-14.549540519714355,0.0,3,0,3
016,no_slip,-14.549540519714355,-14.549540519714355,0.0,3,0,3
016,no_termination,-14.549540519714355,-14.549540519714355,0.0,2,1,3
017,no_forbid,-8.466651916503906,-7.490046501159668,0.9766054153442383,2,1,3
017,no_slip,-8.466651916503906,-8.466697692871094,-4.57763671875e-05,2,1,3
017,no_termination,-8.466651916503906,-8.466484069824219,0.0001678466796875,2,1,3
018,no_forbid,-2.113170623779297,-2.149435043334961,-0.03626441955566406,2,1,3
018,no_slip,-2.113170623779297,-2.149404525756836,-0.03623390197753906,2,1,3
018,no_termination,-2.113170623779297,-2.113170623779297,0.0,2,1,3
019,no_forbid,-3.493175506591797,-3.549367904663086,-0.05619239807128906,2,1,3
019,no_slip,-3.493175506591797,-3.549367904663086,-0.05619239807128906,3,0,3
019,no_termination,-3.493175506591797,-3.493175506591797,0.0,2,1,3
020,no_forbid,-2.7165756225585938,-2.7175216674804688,-0.000946044921875,2,1,3
020,no_slip,-2.7165756225585938,-2.7164840698242188,9.1552734375e-05,3,0,3
020,no_termination,-2.7165756225585938,-2.7175064086914062,-0.0009307861328125,2,1,3
021,no_forbid,-4.417228698730469,-4.417289733886719,-6.103515625e-05,2,1,3
021,no_slip,-4.417228698730469,-4.417152404785156,7.62939453125e-05,2,1,3
021,no_termination,-4.417228698730469,-4.877708435058594,-0.460479736328125,2,1,3
022,no_forbid,-7.176612854003906,-7.176612854003906,0.0,2,1,3
022,no_slip,-7.176612854003906,-7.176612854003906,0.0,2,1,3
022,no_termination,-7.176612854003906,-7.176612854003906,0.0,2,1,3
023,no_forbid,-4.346961975097656,-4.346961975097656,0.0,2,1,3
023,no_slip,-4.346961975097656,-4.346961975097656,0.0,2,1,3
023,no_termination,-4.346961975097656,-7.047445297241211,-2.7004833221435547,2,1,3
024,no_forbid,-3.288808822631836,-3.288808822631836,0.0,3,0,3
024,no_slip,-3.288808822631836,-3.4101905822753906,-0.12138175964355469,3,0,3
024,no_termination,-3.288808822631836,-3.288808822631836,0.0,2,1,3
025,no_forbid,-7.967422485351563,-8.408592224121094,-0.44116973876953036,2,1,3
025,no_slip,-7.967422485351563,-8.408592224121094,-0.44116973876953036,3,0,3
025,no_termination,-7.967422485351563,-8.870079040527344,-0.9026565551757804,2,1,3
026,no_forbid,-19.925071716308594,-19.950759887695312,-0.02568817138671875,2,1,3
026,no_slip,-19.925071716308594,-19.925071716308594,0.0,3,0,3
026,no_termination,-19.925071716308594,-19.925071716308594,0.0,2,1,3
027,no_forbid,-7.707094192504883,-7.707094192504883,0.0,2,1,3
027,no_slip,-7.707094192504883,-7.777910232543945,-0.0708160400390625,3,0,3
027,no_termination,-7.707094192504883,-7.707094192504883,0.0,2,1,3
028,no_forbid,-7.811891555786133,-7.811891555786133,0.0,2,1,3
028,no_slip,-7.811891555786133,-7.811891555786133,0.0,3,0,3
028,no_termination,-7.811891555786133,-7.811891555786133,0.0,2,1,3
029,no_forbid,-2.739093780517578,-2.739093780517578,0.0,2,1,3
029,no_slip,-2.739093780517578,-2.739093780517578,0.0,3,0,3
029,no_termination,-2.739093780517578,-2.739093780517578,0.0,2,1,3
030,no_forbid,-4.292024612426758,-4.292024612426758,0.0,2,1,3
030,no_slip,-4.292024612426758,-5.213466644287109,-0.9214420318603516,3,0,3
030,no_termination,-4.292024612426758,-4.276355743408203,0.015668869018554688,2,1,3
031,no_forbid,-7.339723587036133,-7.334962844848633,0.0047607421875,2,1,3
031,no_slip,-7.339723587036133,-7.339601516723633,0.0001220703125,3,0,3
031,no_termination,-7.339723587036133,-7.339723587036133,0.0,2,1,3
032,no_forbid,-1.094757080078125,-1.094757080078125,0.0,2,1,3
032,no_slip,-1.094757080078125,-1.094757080078125,0.0,3,0,3
032,no_termination,-1.094757080078125,-1.094757080078125,0.0,2,1,3
