case_id,variant,backend_count,available_backend_count,success_backend_count,failed_backend_count,min_best_energy,max_best_energy,range_best_energy,mean_best_energy,median_best_energy,min_delta_vs_full,max_delta_vs_full,range_delta_vs_full,mean_delta_vs_full,median_delta_vs_full,success_backends,failed_backends,gemini_best_energy,gemini_delta_vs_full,gemini_success,grok4_best_energy,grok4_delta_vs_full,grok4_success,openai_gpt54_best_energy,openai_gpt54_delta_vs_full,openai_gpt54_success,anthropic_claude_best_energy,anthropic_claude_delta_vs_full,anthropic_claude_success
04,full,4,4,4,0,-2.2848472595214844,-2.0603294372558594,0.224517822265625,-2.2137489318847656,-2.2549095153808594,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.0603294372558594,0.0,True,-2.2549095153808594,0.0,True,-2.2549095153808594,0.0,True,-2.2848472595214844,0.0,True
04,no_forbid,4,4,4,0,-2.2851524353027344,-1.8452110290527344,0.43994140625,-2.106060028076172,-2.1469383239746094,-0.00030517578125,0.409698486328125,0.410003662109375,0.10768890380859375,0.01068115234375,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.0389671325683594,0.0213623046875,True,-1.8452110290527344,0.409698486328125,True,-2.2549095153808594,0.0,True,-2.2851524353027344,-0.00030517578125,True
04,no_slip,4,4,4,0,-2.2833213806152344,-2.0389671325683594,0.244354248046875,-2.193004608154297,-2.224864959716797,-0.134490966796875,0.2159423828125,0.350433349609375,0.02074432373046875,0.000762939453125,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.1948204040527344,-0.134490966796875,True,-2.0389671325683594,0.2159423828125,True,-2.2549095153808594,0.0,True,-2.2833213806152344,0.00152587890625,True
04,no_termination,4,4,4,0,-2.2549095153808594,-1.8452110290527344,0.409698486328125,-2.1494407653808594,-2.248821258544922,0.0,0.215118408203125,0.215118408203125,0.06430816650390625,0.02105712890625,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.8452110290527344,0.215118408203125,True,-2.2549095153808594,0.0,True,-2.2549095153808594,0.0,True,-2.2427330017089844,0.0421142578125,True
04,single_shot,4,4,4,0,-2.2427330017089844,-1.6579418182373047,0.5847911834716797,-1.850956916809082,-1.7515764236450195,0.012176513671875,0.5969676971435547,0.5847911834716797,0.3627920150756836,0.42101192474365234,"gemini,grok4,openai_gpt54,anthropic_claude",,-1.6579418182373047,0.4023876190185547,True,-1.6579418182373047,0.5969676971435547,True,-2.2427330017089844,0.012176513671875,True,-1.8452110290527344,0.43963623046875,True
05,full,4,4,4,0,-2.961643934249878,-2.9616286754608154,1.52587890625e-05,-2.9616401195526123,-2.961643934249878,0.0,0.0,0.0,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.961643934249878,0.0,True,-2.9616286754608154,0.0,True,-2.961643934249878,0.0,True,-2.961643934249878,0.0,True
05,no_forbid,4,4,4,0,-2.961643934249878,-2.961643934249878,0.0,-2.961643934249878,-2.961643934249878,-1.52587890625e-05,0.0,1.52587890625e-05,-3.814697265625e-06,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.961643934249878,0.0,True,-2.961643934249878,-1.52587890625e-05,True,-2.961643934249878,0.0,True,-2.961643934249878,0.0,True
05,no_slip,4,4,4,0,-2.961643934249878,-2.9616286754608154,1.52587890625e-05,-2.9616401195526123,-2.961643934249878,-1.52587890625e-05,1.52587890625e-05,3.0517578125e-05,0.0,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.961643934249878,0.0,True,-2.961643934249878,-1.52587890625e-05,True,-2.961643934249878,0.0,True,-2.9616286754608154,1.52587890625e-05,True
05,no_termination,4,4,4,0,-2.961643934249878,-2.961643934249878,0.0,-2.961643934249878,-2.961643934249878,-1.52587890625e-05,0.0,1.52587890625e-05,-3.814697265625e-06,0.0,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.961643934249878,0.0,True,-2.961643934249878,-1.52587890625e-05,True,-2.961643934249878,0.0,True,-2.961643934249878,0.0,True
05,single_shot,4,4,4,0,-2.961643934249878,-2.8426101207733154,0.1190338134765625,-2.924522876739502,-2.9469187259674072,0.0,0.1190338134765625,0.1190338134765625,0.03711724281311035,0.014717578887939453,"gemini,grok4,openai_gpt54,anthropic_claude",,-2.9469187259674072,0.014725208282470703,True,-2.9469187259674072,0.014709949493408203,True,-2.8426101207733154,0.1190338134765625,True,-2.961643934249878,0.0,True
